jobId,title,companyName,Industry,Clean_City,tagsAndSkills,minimumExperience,minimumSalary,maximumSalary,midSalary
290925006048,Business Analyst,Tudip Technologies,IT/Tech,Pune,"Business Analyst,Project Management,business analyst certified,Account Management,Customer Engagement,Management,Project,Accounting",3,0.0,0.0,
290925002023,Analyst-Optimization,Sakon,Other,Hybrid - Pune,"Invoice Processing,Financial Analyst,Advanced Excel,Pivot Table,Client Communication,VLOOKUP,Cost Control,Cost Optimization",1,0.0,0.0,
270925012943,Data Analyst,Bitwise Solutions,IT/Tech,Hybrid - Pune,"Cloud,Data Warehousing,ETL,SQL,Data Extraction,Data Modeling,Data Analytics,Data",6,0.0,0.0,
260925927840,"Lead Analyst - Managed Service Change ( Intellimatch,SQL )",FIS,Other,Pune,"continuous integration,ci/cd,dbms,sql,etd,kubernetes,investment banking,docker",2,0.0,0.0,
260925927828,InP - Implementation Conversion Analyst Specialist,FIS,Other,Pune,"dml,dbms,sql,ddl,intellimatch,css,c++,crystal report",1,0.0,0.0,
260925927541,Business Analyst,IDESLABS PRIVATE LIMITED,Other,Pune,"documentation,business analysis,brd,thinking skills,business operations,project management,business analytics,user stories",5,0.0,0.0,
260925922363,Senior Analyst- Managed Service Operations,FIS,Other,Pune,"service management,capital market,problem management,financial services,incident management,financial analysis,project management,team management",4,0.0,0.0,
260925920284,Senior Lead Analyst - Managed Service Change,FIS,Other,Pune,"sql,troubleshooting,debugging,itil,batch script,nextgen,service management,itil framework",4,0.0,0.0,
260925504213,Analyst - US Talent Acquisition,Stratacent,Other,Pune,"IT services,Automation,ISO,Talent acquisition,Staffing,Healthcare,Life sciences,HTTP",5,0.0,0.0,
260925503526,SOC Analyst L1,Altisec Technologies,IT/Tech,Pune,"IT services,Networking protocols,Information security,DNS,Network security,Incident management,HTTP,Antivirus",1,0.0,0.0,
260925502547,Associate Accounts Payable Analyst,Rarr Technologies,IT/Tech,Pune,"accounts payable,oracle,sap,internal control,purchase,invoice processing,emea,p2p",2,0.0,0.0,
260925502439,Financial Analyst,Principal Global Services,Staffing/HR Services,Pune,"financial analysis,data analysis,equity research,forecasting,investment banking,variance analysis,auditing,accounting",2,0.0,0.0,
260925500945,"Product Security Analyst, APAC",Hackerone,Other,Pune,"SAN,remediation,github,Testing tools,OWASP,Security testing,Work permit,Software development life cycle",2,0.0,0.0,
260925500813,Senior Analyst - Insurance Operations,Oliver Wyman,Other,Pune,"Insurance operations,Senior Analyst,Information security,Analytical,risk advisor,Workflow,professional services,MS Office",4,0.0,0.0,
260925500596,Analyst Middle Office,Apex Group,Other,Pune,"CVS,Money market,Talent acquisition,calypso,Fund administration,Trade support,Capital market,Apex",1,0.0,0.0,
260925500567,Specialist Business Analyst (Salesforce),Spanidea,Other,Pune,"Business Analyst,Salesforce,Business analysis",6,0.0,0.0,
260925500527,Senior Data Analyst,"Godaddy Operating Company, Llc",Other,Pune,"BPO,Data analysis,Performance management,Staffing,Focus,Process improvement,Scheduling,Business intelligence",5,0.0,0.0,
260925030410,Data Analyst,Ozori Industries,Other,Pune,"Data Analysis,Data Collection,wholesale,and validate data from various internal and external sources,inventory levels,supply chain software,clean,or Looker to monitor KPIs such as sales performance",2,400000.0,600000.0,500000.0
260925028170,Actimize Business Analyst,Zalway,Other,Pune,"ActOne,Actimize SAM9,Transaction monitoring,UI configuration,Configuration,Actimize,Monitoring,UI",5,50000.0,50000.0,50000.0
260925027969,Solar Performance and Monitoring Analyst,MNC,Other,Pune,"Solar,monitoring,Performance Analysis,Monitoring Tools,Performance Monitoring,Corrective Maintenance,Preventive Maintenance,Data Analysis",3,0.0,0.0,
260925008938,Order To Cash Analyst,Manning Consulting,IT/Tech,Pune,"Order Management,Quote To Order,Order To Cash,Quote Management,Quote To Cash,Sales Order Processing,Agreements,Contracts",3,400000.0,550000.0,475000.0
250925509883,Business Analyst Intern,Vertoz,Other,Pune,,0,,,
250925011189,Data Analyst Non-IT- Fresher,Nalco Water,Other,Pune,"Communication Skills,Excel,Data Management,Advanced Excel,VisionAI,Data,Data analysis,Management",0,0.0,0.0,
240925507112,Research Analyst (RA),Machbizz Marketers,Other,Pune,"Excel,Research Analyst,Research,Analysis,Research analysis,RA",0,0.0,0.0,
240925034361,Process Analyst Trainee,Principal Global Services,Staffing/HR Services,Pune,"Good Communication In English,Typing Speed,Insurance Operations,Operations,Typing,Training,English,Communication skills",0,225000.0,350000.0,287500.0
240925015111,Business Analyst For Education ERP (SaaS),Global Solutions,IT/Tech,Pune,"Saas Applications,Requirement Gathering,Business Analysis,Business Requirement Analysis,ERP Implementation,Workflow Management,Process Analysis,UAT",1,175000.0,225000.0,200000.0
230925026973,Chief Financial Officer (CFO) / Chartered Financial Analyst (CFA),B K Khose,Other,Pune,"Corporate Finance,English,Marathi,Financial Planning And Analysis,Hindi,Corporate,Cfo,Planning",4,540000.0,780000.0,660000.0
190825012208,It Support Analyst 2,Pattern Technologies,IT/Tech,Pune,"Microsoft Windows,Networking,Google Workspace Admin,Mac,Google,Administration,Microsoft,IT support",3,0.0,0.0,
180925028437,Hiring For Analyst/Sr Analyst - Internal Audit/Review role in Pune,Principal Global Services,Staffing/HR Services,Hybrid - Pune,"Internal Audit,Advance Accounting,Process Audit,SOX Compliance,R2R,Semi qualified CA,General Ledger Accounting,CAinter",3,0.0,0.0,
31025004914,CAE Analyst,Fesolve Engineering Services,Manufacturing/Core,Pune,"Abaqus,Cae,Cae Analysis,Analysis",2,0.0,0.0,
11025024333,Quality Analyst | Service Desk,Ghrs Training,Staffing/HR Services,Pune,"IT Service Desk,Quality Analysis,Service Desk,Root Cause Analysis,QC Tools,Servicenow,Helpdesk Management,Call Monitoring",2,500000.0,700000.0,600000.0
11025022265,Salesforce Business Analyst,Teamovation Services,Staffing/HR Services,Hybrid - Pune,"Quote To Cash,Business Analysis,Salesforce,Salesforce business Analayst,Analysis,Cash,Quotation",7,0.0,0.0,
110725021957,Pricing & Promotions Analyst,Talenta Manpower Services,Manufacturing/Core,Pune,"Promotion Strategy Analyst,Promo Planning Executive,Promo Analytics Analyst,Retail Pricing Analyst,Pricing & Promotions Executive,Pricing Analyst,Pricing,Promotions",2,1000000.0,1200000.0,1100000.0
70825010830,"Analyst, Talent Management",Tresvista Financial Services,Staffing/HR Services,Hybrid - Pune,"Policies,Policy Making,Performance Management,Appraisal,Performance Appraisal,Policy Design,Policy Analysis,Policy Development",0,0.0,0.0,
250925913916,Offshore OT Analyst,IDESLABS PRIVATE LIMITED,Other,Hybrid - Mumbai,"iec,siem,industrial automation,ic,firewall,analytical method development,ftir,networking",4,0.0,0.0,
240925506727,Cybersecurity Analyst,Lexicon Computers,Other,Bhopal,"Senior Analyst,Senior",2,0.0,0.0,
240925500058,Data Analyst,Disc Technology Services,IT/Tech,Mumbai,"master data,metadata,python,data analysis,data management,data analytics,data validation,configuration",3,0.0,0.0,
250925500898,Business Systems Analyst (U.S.Payroll),Reuters,Other,Mumbai,"Career development,Payroll,Income tax,Senior Analyst,MIS,Consulting,Agile,Scrum",2,0.0,0.0,
200825016261,Data Analyst - Lead,FedEx,Other,Hybrid - Gurugram,"Data Analysis,Business Insights,Python,SQL,Team Management,Team Handling,Power Bi,Business Acumen",6,0.0,0.0,
281119006709,Sr Ex / Asst Mgr - Procurement (Specialist / Analyst ),Aryanco,Other,Delhi NCR,"Procurement,New Vendor Development,Strategic Purchasing,Procurement Planning,Global Sourcing,Purchase,PO/WO,Vendor Development",3,500000.0,1000000.0,750000.0
240925502089,RTA Analyst - 1 To 7 Years- Gurgaon/,FIS,Other,Mumbai,"data analysis,mis reporting,forecasting,rostering,pivot table,vlookup,avaya cms,workforce management",4,0.0,0.0,
240925022799,SOC Analyst 1,Black Box,Other,Bangalore,"Log Analysis,SIEM,Monitoring,Tcp Ip Protocol,DNS,Troubleshooting,Security Operations Center,Protocols",1,450000.0,550000.0,500000.0
300925927025,Quality Analyst,PRO Hr Complete Solutions,IT/Tech,Mumbai,"BPO,Quality Analysis,Call Monitoring,Quality Monitoring,QC Tools,Call Audit,Feedback,Excellent Communication In English",1,300000.0,400000.0,350000.0
300925010784,Data Analyst,Apidel Technologies,IT/Tech,Hybrid - Mumbai,"data analyst,SQL,Python,Data,Data analysis",5,0.0,0.0,
290425031762,Analyst - ICP : Immediate Hiring Opportunity,GEO CHEM,Other,Mumbai,"Analyst,Chemistry,ICP,GC,HPLC,Icp-Oes,USFDA,FDA",5,0.0,0.0,
270925010474,Data Analyst,Prime Placement Mumbai,Other,Mumbai,"Business Intelligence,Power Bi,Etl Process,Tableau,Data Warehousing,Data Visualization,QlikView,Data Modeling",2,225000.0,550000.0,387500.0
260925923139,AVP / VP - Market Research Analyst ( Investment Advisory ),WRIGHTHIRE BRAINHUNT CONSULTANTS PRIVATE LIMITED,Consulting,Mumbai,"Market Research,Data Research,Business Research,Financial Research,Industry Research,Research Analyst,Company Profiling,Investment Research",7,0.0,0.0,
